"week","inventory_needed","number_of_items_needed"
1,"025-207",45
2,"025-207",17
3,"025-207",17
4,"025-207",17
5,"025-207",18
6,"025-207",18
7,"025-207",18
8,"025-207",18
9,"025-207",18
10,"025-207",18
11,"025-207",19
12,"025-207",19
13,"025-207",19
14,"025-207",19
15,"025-207",19
16,"025-207",19
17,"025-207",20
18,"025-207",20
19,"025-207",20
20,"025-207",20
21,"025-207",20
22,"025-207",21
23,"025-207",21
24,"025-207",21
25,"025-207",21
26,"025-207",21
27,"025-207",21
28,"025-207",22
29,"025-207",22
30,"025-207",22
31,"025-207",22
32,"025-207",22
33,"025-207",23
34,"025-207",23
35,"025-207",23
36,"025-207",23
37,"025-207",23
38,"025-207",24
39,"025-207",24
40,"025-207",24
41,"025-207",24
42,"025-207",24
43,"025-207",25
44,"025-207",25
45,"025-207",25
46,"025-207",25
47,"025-207",26
48,"025-207",26
49,"025-207",26
50,"025-207",26
51,"025-207",26
52,"025-207",27
53,"025-207",27
1,"04002032",78
2,"04002032",71
3,"04002032",67
4,"04002032",63
5,"04002032",59
6,"04002032",56
7,"04002032",52
8,"04002032",49
9,"04002032",46
10,"04002032",44
11,"04002032",41
12,"04002032",39
13,"04002032",36
14,"04002032",34
15,"04002032",32
16,"04002032",30
17,"04002032",28
18,"04002032",27
19,"04002032",25
20,"04002032",24
21,"04002032",22
22,"04002032",21
23,"04002032",20
24,"04002032",18
25,"04002032",17
26,"04002032",16
27,"04002032",15
28,"04002032",14
29,"04002032",13
30,"04002032",13
31,"04002032",12
32,"04002032",11
33,"04002032",10
34,"04002032",10
35,"04002032",9
36,"04002032",9
37,"04002032",8
38,"04002032",8
39,"04002032",7
40,"04002032",7
41,"04002032",6
42,"04002032",6
43,"04002032",6
44,"04002032",5
45,"04002032",5
46,"04002032",5
47,"04002032",4
48,"04002032",4
49,"04002032",4
50,"04002032",3
51,"04002032",3
52,"04002032",3
53,"04002032",3
1,"0822203",53
2,"0822203",12
3,"0822203",12
4,"0822203",13
5,"0822203",13
6,"0822203",13
7,"0822203",14
8,"0822203",14
9,"0822203",14
10,"0822203",15
11,"0822203",15
12,"0822203",15
13,"0822203",16
14,"0822203",16
15,"0822203",16
16,"0822203",17
17,"0822203",17
18,"0822203",18
19,"0822203",18
20,"0822203",18
21,"0822203",19
22,"0822203",19
23,"0822203",20
24,"0822203",20
25,"0822203",21
26,"0822203",21
27,"0822203",22
28,"0822203",22
29,"0822203",23
30,"0822203",23
31,"0822203",24
32,"0822203",25
33,"0822203",25
34,"0822203",26
35,"0822203",26
36,"0822203",27
37,"0822203",28
38,"0822203",28
39,"0822203",29
40,"0822203",30
41,"0822203",30
42,"0822203",31
43,"0822203",32
44,"0822203",33
45,"0822203",33
46,"0822203",34
47,"0822203",35
48,"0822203",36
49,"0822203",37
50,"0822203",38
51,"0822203",38
52,"0822203",39
53,"0822203",40
1,"10055.011010",140
2,"10055.011010",123
3,"10055.011010",118
4,"10055.011010",112
5,"10055.011010",107
6,"10055.011010",102
7,"10055.011010",97
8,"10055.011010",92
9,"10055.011010",88
10,"10055.011010",84
11,"10055.011010",80
12,"10055.011010",76
13,"10055.011010",72
14,"10055.011010",69
15,"10055.011010",66
16,"10055.011010",62
17,"10055.011010",59
18,"10055.011010",57
19,"10055.011010",54
20,"10055.011010",51
21,"10055.011010",49
22,"10055.011010",47
23,"10055.011010",44
24,"10055.011010",42
25,"10055.011010",40
26,"10055.011010",38
27,"10055.011010",36
28,"10055.011010",35
29,"10055.011010",33
30,"10055.011010",31
31,"10055.011010",30
32,"10055.011010",29
33,"10055.011010",27
34,"10055.011010",26
35,"10055.011010",25
36,"10055.011010",23
37,"10055.011010",22
38,"10055.011010",21
39,"10055.011010",20
40,"10055.011010",19
41,"10055.011010",18
42,"10055.011010",17
43,"10055.011010",17
44,"10055.011010",16
45,"10055.011010",15
46,"10055.011010",14
47,"10055.011010",14
48,"10055.011010",13
49,"10055.011010",12
50,"10055.011010",12
51,"10055.011010",11
52,"10055.011010",11
53,"10055.011010",10
1,"10055.011020",56
2,"10055.011020",28
3,"10055.011020",28
4,"10055.011020",28
5,"10055.011020",28
6,"10055.011020",28
7,"10055.011020",28
8,"10055.011020",28
9,"10055.011020",28
10,"10055.011020",28
11,"10055.011020",28
12,"10055.011020",28
13,"10055.011020",28
14,"10055.011020",28
15,"10055.011020",28
16,"10055.011020",28
17,"10055.011020",28
18,"10055.011020",28
19,"10055.011020",28
20,"10055.011020",28
21,"10055.011020",28
22,"10055.011020",28
23,"10055.011020",28
24,"10055.011020",28
25,"10055.011020",28
26,"10055.011020",28
27,"10055.011020",28
28,"10055.011020",28
29,"10055.011020",28
30,"10055.011020",28
31,"10055.011020",28
32,"10055.011020",28
33,"10055.011020",28
34,"10055.011020",28
35,"10055.011020",28
36,"10055.011020",28
37,"10055.011020",28
38,"10055.011020",28
39,"10055.011020",28
40,"10055.011020",28
41,"10055.011020",28
42,"10055.011020",28
43,"10055.011020",27
44,"10055.011020",27
45,"10055.011020",27
46,"10055.011020",27
47,"10055.011020",27
48,"10055.011020",27
49,"10055.011020",27
50,"10055.011020",27
51,"10055.011020",27
52,"10055.011020",27
53,"10055.011020",27
1,"10055.011212",42
2,"10055.011212",10
3,"10055.011212",11
4,"10055.011212",11
5,"10055.011212",11
6,"10055.011212",11
7,"10055.011212",12
8,"10055.011212",12
9,"10055.011212",12
10,"10055.011212",12
11,"10055.011212",13
12,"10055.011212",13
13,"10055.011212",13
14,"10055.011212",14
15,"10055.011212",14
16,"10055.011212",14
17,"10055.011212",14
18,"10055.011212",15
19,"10055.011212",15
20,"10055.011212",15
21,"10055.011212",16
22,"10055.011212",16
23,"10055.011212",16
24,"10055.011212",17
25,"10055.011212",17
26,"10055.011212",17
27,"10055.011212",18
28,"10055.011212",18
29,"10055.011212",19
30,"10055.011212",19
31,"10055.011212",19
32,"10055.011212",20
33,"10055.011212",20
34,"10055.011212",21
35,"10055.011212",21
36,"10055.011212",22
37,"10055.011212",22
38,"10055.011212",23
39,"10055.011212",23
40,"10055.011212",23
41,"10055.011212",24
42,"10055.011212",24
43,"10055.011212",25
44,"10055.011212",26
45,"10055.011212",26
46,"10055.011212",27
47,"10055.011212",27
48,"10055.011212",28
49,"10055.011212",28
50,"10055.011212",29
51,"10055.011212",30
52,"10055.011212",30
53,"10055.011212",31
1,"10055.011420",87
2,"10055.011420",46
3,"10055.011420",46
4,"10055.011420",46
5,"10055.011420",45
6,"10055.011420",45
7,"10055.011420",45
8,"10055.011420",45
9,"10055.011420",45
10,"10055.011420",45
11,"10055.011420",45
12,"10055.011420",45
13,"10055.011420",45
14,"10055.011420",45
15,"10055.011420",45
16,"10055.011420",44
17,"10055.011420",44
18,"10055.011420",44
19,"10055.011420",44
20,"10055.011420",44
21,"10055.011420",44
22,"10055.011420",44
23,"10055.011420",44
24,"10055.011420",44
25,"10055.011420",44
26,"10055.011420",44
27,"10055.011420",43
28,"10055.011420",43
29,"10055.011420",43
30,"10055.011420",43
31,"10055.011420",43
32,"10055.011420",43
33,"10055.011420",43
34,"10055.011420",43
35,"10055.011420",43
36,"10055.011420",43
37,"10055.011420",43
38,"10055.011420",42
39,"10055.011420",42
40,"10055.011420",42
41,"10055.011420",42
42,"10055.011420",42
43,"10055.011420",42
44,"10055.011420",42
45,"10055.011420",42
46,"10055.011420",42
47,"10055.011420",42
48,"10055.011420",42
49,"10055.011420",42
50,"10055.011420",41
51,"10055.011420",41
52,"10055.011420",41
53,"10055.011420",41
1,"10055.011425",54
2,"10055.011425",18
3,"10055.011425",18
4,"10055.011425",18
5,"10055.011425",18
6,"10055.011425",19
7,"10055.011425",19
8,"10055.011425",19
9,"10055.011425",19
10,"10055.011425",20
11,"10055.011425",20
12,"10055.011425",20
13,"10055.011425",20
14,"10055.011425",21
15,"10055.011425",21
16,"10055.011425",21
17,"10055.011425",22
18,"10055.011425",22
19,"10055.011425",22
20,"10055.011425",23
21,"10055.011425",23
22,"10055.011425",23
23,"10055.011425",24
24,"10055.011425",24
25,"10055.011425",24
26,"10055.011425",25
27,"10055.011425",25
28,"10055.011425",25
29,"10055.011425",26
30,"10055.011425",26
31,"10055.011425",26
32,"10055.011425",27
33,"10055.011425",27
34,"10055.011425",27
35,"10055.011425",28
36,"10055.011425",28
37,"10055.011425",29
38,"10055.011425",29
39,"10055.011425",29
40,"10055.011425",30
41,"10055.011425",30
42,"10055.011425",31
43,"10055.011425",31
44,"10055.011425",32
45,"10055.011425",32
46,"10055.011425",33
47,"10055.011425",33
48,"10055.011425",33
49,"10055.011425",34
50,"10055.011425",34
51,"10055.011425",35
52,"10055.011425",35
53,"10055.011425",36
1,"10055.011620",181
2,"10055.011620",110
3,"10055.011620",109
4,"10055.011620",108
5,"10055.011620",107
6,"10055.011620",106
7,"10055.011620",105
8,"10055.011620",104
9,"10055.011620",103
10,"10055.011620",102
11,"10055.011620",101
12,"10055.011620",100
13,"10055.011620",100
14,"10055.011620",99
15,"10055.011620",98
16,"10055.011620",97
17,"10055.011620",96
18,"10055.011620",95
19,"10055.011620",94
20,"10055.011620",94
21,"10055.011620",93
22,"10055.011620",92
23,"10055.011620",91
24,"10055.011620",90
25,"10055.011620",90
26,"10055.011620",89
27,"10055.011620",88
28,"10055.011620",87
29,"10055.011620",86
30,"10055.011620",86
31,"10055.011620",85
32,"10055.011620",84
33,"10055.011620",83
34,"10055.011620",83
35,"10055.011620",82
36,"10055.011620",81
37,"10055.011620",81
38,"10055.011620",80
39,"10055.011620",79
40,"10055.011620",78
41,"10055.011620",78
42,"10055.011620",77
43,"10055.011620",76
44,"10055.011620",76
45,"10055.011620",75
46,"10055.011620",74
47,"10055.011620",74
48,"10055.011620",73
49,"10055.011620",73
50,"10055.011620",72
51,"10055.011620",71
52,"10055.011620",71
53,"10055.011620",70
1,"10055.011625",152
2,"10055.011625",55
3,"10055.011625",55
4,"10055.011625",56
5,"10055.011625",56
6,"10055.011625",57
7,"10055.011625",58
8,"10055.011625",58
9,"10055.011625",59
10,"10055.011625",60
11,"10055.011625",60
12,"10055.011625",61
13,"10055.011625",62
14,"10055.011625",62
15,"10055.011625",63
16,"10055.011625",64
17,"10055.011625",64
18,"10055.011625",65
19,"10055.011625",66
20,"10055.011625",67
21,"10055.011625",67
22,"10055.011625",68
23,"10055.011625",69
24,"10055.011625",70
25,"10055.011625",70
26,"10055.011625",71
27,"10055.011625",72
28,"10055.011625",73
29,"10055.011625",74
30,"10055.011625",74
31,"10055.011625",75
32,"10055.011625",76
33,"10055.011625",77
34,"10055.011625",78
35,"10055.011625",79
36,"10055.011625",80
37,"10055.011625",80
38,"10055.011625",81
39,"10055.011625",82
40,"10055.011625",83
41,"10055.011625",84
42,"10055.011625",85
43,"10055.011625",86
44,"10055.011625",87
45,"10055.011625",88
46,"10055.011625",89
47,"10055.011625",90
48,"10055.011625",91
49,"10055.011625",92
50,"10055.011625",93
51,"10055.011625",94
52,"10055.011625",95
53,"10055.011625",96
1,"10055.012020",162
2,"10055.012020",52
3,"10055.012020",53
4,"10055.012020",54
5,"10055.012020",55
6,"10055.012020",55
7,"10055.012020",56
8,"10055.012020",57
9,"10055.012020",58
10,"10055.012020",59
11,"10055.012020",60
12,"10055.012020",60
13,"10055.012020",61
14,"10055.012020",62
15,"10055.012020",63
16,"10055.012020",64
17,"10055.012020",65
18,"10055.012020",66
19,"10055.012020",67
20,"10055.012020",68
21,"10055.012020",69
22,"10055.012020",70
23,"10055.012020",71
24,"10055.012020",72
25,"10055.012020",73
26,"10055.012020",74
27,"10055.012020",75
28,"10055.012020",76
29,"10055.012020",77
30,"10055.012020",78
31,"10055.012020",79
32,"10055.012020",80
33,"10055.012020",81
34,"10055.012020",82
35,"10055.012020",84
36,"10055.012020",85
37,"10055.012020",86
38,"10055.012020",87
39,"10055.012020",89
40,"10055.012020",90
41,"10055.012020",91
42,"10055.012020",92
43,"10055.012020",94
44,"10055.012020",95
45,"10055.012020",96
46,"10055.012020",98
47,"10055.012020",99
48,"10055.012020",101
49,"10055.012020",102
50,"10055.012020",103
51,"10055.012020",105
52,"10055.012020",106
53,"10055.012020",108
1,"10055.012025",125
2,"10055.012025",37
3,"10055.012025",38
4,"10055.012025",39
5,"10055.012025",39
6,"10055.012025",40
7,"10055.012025",41
8,"10055.012025",41
9,"10055.012025",42
10,"10055.012025",43
11,"10055.012025",43
12,"10055.012025",44
13,"10055.012025",45
14,"10055.012025",46
15,"10055.012025",46
16,"10055.012025",47
17,"10055.012025",48
18,"10055.012025",49
19,"10055.012025",49
20,"10055.012025",50
21,"10055.012025",51
22,"10055.012025",52
23,"10055.012025",53
24,"10055.012025",54
25,"10055.012025",55
26,"10055.012025",56
27,"10055.012025",56
28,"10055.012025",57
29,"10055.012025",58
30,"10055.012025",59
31,"10055.012025",60
32,"10055.012025",61
33,"10055.012025",62
34,"10055.012025",63
35,"10055.012025",64
36,"10055.012025",65
37,"10055.012025",66
38,"10055.012025",68
39,"10055.012025",69
40,"10055.012025",70
41,"10055.012025",71
42,"10055.012025",72
43,"10055.012025",73
44,"10055.012025",75
45,"10055.012025",76
46,"10055.012025",77
47,"10055.012025",78
48,"10055.012025",80
49,"10055.012025",81
50,"10055.012025",82
51,"10055.012025",84
52,"10055.012025",85
53,"10055.012025",86
1,"10055.012424",58
2,"10055.012424",48
3,"10055.012424",46
4,"10055.012424",45
5,"10055.012424",43
6,"10055.012424",42
7,"10055.012424",40
8,"10055.012424",39
9,"10055.012424",38
10,"10055.012424",37
11,"10055.012424",35
12,"10055.012424",34
13,"10055.012424",33
14,"10055.012424",32
15,"10055.012424",31
16,"10055.012424",30
17,"10055.012424",29
18,"10055.012424",28
19,"10055.012424",27
20,"10055.012424",26
21,"10055.012424",25
22,"10055.012424",24
23,"10055.012424",24
24,"10055.012424",23
25,"10055.012424",22
26,"10055.012424",21
27,"10055.012424",21
28,"10055.012424",20
29,"10055.012424",19
30,"10055.012424",19
31,"10055.012424",18
32,"10055.012424",17
33,"10055.012424",17
34,"10055.012424",16
35,"10055.012424",16
36,"10055.012424",15
37,"10055.012424",15
38,"10055.012424",14
39,"10055.012424",14
40,"10055.012424",13
41,"10055.012424",13
42,"10055.012424",12
43,"10055.012424",12
44,"10055.012424",11
45,"10055.012424",11
46,"10055.012424",11
47,"10055.012424",10
48,"10055.012424",10
49,"10055.012424",10
50,"10055.012424",9
51,"10055.012424",9
52,"10055.012424",9
53,"10055.012424",8
1,"10055.021620",71
2,"10055.021620",40
3,"10055.021620",40
4,"10055.021620",39
5,"10055.021620",39
6,"10055.021620",39
7,"10055.021620",39
8,"10055.021620",39
9,"10055.021620",38
10,"10055.021620",38
11,"10055.021620",38
12,"10055.021620",38
13,"10055.021620",38
14,"10055.021620",37
15,"10055.021620",37
16,"10055.021620",37
17,"10055.021620",37
18,"10055.021620",37
19,"10055.021620",36
20,"10055.021620",36
21,"10055.021620",36
22,"10055.021620",36
23,"10055.021620",36
24,"10055.021620",35
25,"10055.021620",35
26,"10055.021620",35
27,"10055.021620",35
28,"10055.021620",35
29,"10055.021620",35
30,"10055.021620",34
31,"10055.021620",34
32,"10055.021620",34
33,"10055.021620",34
34,"10055.021620",34
35,"10055.021620",33
36,"10055.021620",33
