"week","x","inventory_needed","month"
1,45.1977874129285,"025-207",1
2,17.683429769265,"025-207",2
3,17.8362909821537,"025-207",3
4,17.9904735761722,"025-207",4
5,18.1459889737607,"025-207",5
6,18.3028486960989,"025-207",6
7,18.4610643639592,"025-207",7
8,18.6206476985675,"025-207",8
9,18.7816105224719,"025-207",9
10,18.9439647604183,"025-207",10
11,19.107722440234,"025-207",11
12,19.2728956937186,"025-207",12
13,19.4394967575428,"025-207",13
14,19.607537974155,"025-207",14
15,19.7770317926958,"025-207",15
16,19.94799076992,"025-207",16
17,20.1204275711271,"025-207",17
18,20.2943549710995,"025-207",18
19,20.4697858550487,"025-207",19
20,20.6467332195704,"025-207",20
21,20.8252101736067,"025-207",21
22,21.0052299394178,"025-207",22
23,21.1868058535612,"025-207",23
24,21.36995136788,"025-207",24
25,21.5546800504993,"025-207",25
26,21.7410055868313,"025-207",26
27,21.9289417805894,"025-207",27
28,22.1185025548105,"025-207",28
29,22.3097019528869,"025-207",29
30,22.5025541396065,"025-207",30
31,22.6970734022018,"025-207",31
32,22.8932741514091,"025-207",32
33,23.0911709225355,"025-207",33
34,23.290778376536,"025-207",34
35,23.4921113010995,"025-207",35
36,23.6951846117445,"025-207",36
37,23.9000133529239,"025-207",37
38,24.1066126991398,"025-207",38
39,24.3149979560674,"025-207",39
40,24.5251845616891,"025-207",40
41,24.7371880874381,"025-207",41
42,24.9510242393521,"025-207",42
43,25.1667088592369,"025-207",43
44,25.3842579258397,"025-207",44
45,25.6036875560333,"025-207",45
46,25.8250140060097,"025-207",46
47,26.0482536724848,"025-207",47
48,26.2734230939129,"025-207",48
49,26.5005389517118,"025-207",49
50,26.7296180714991,"025-207",50
51,26.9606774243381,"025-207",51
52,27.1937341279957,"025-207",52
53,27.4288054482101,"025-207",53
1,78.9203359953668,"04002032",1
2,71.3841434755007,"04002032",2
3,67.2037167999314,"04002032",3
4,63.2681059383364,"04002032",4
5,59.5629738893941,"04002032",5
